Guid,Title,Genres,Keywords,Director,Actors
tt0118698,Bent,Drama | History | Romance | War,year 1944 | year 1934 | 360 degree well camera shot | reference to cologne | watering a plant,Sean Mathias,Lothaire Bluteau | Clive Owen | Mick Jagger | Brian Webber
tt0118804,The Butcher Boy,Comedy | Drama,paranoia | vision | alcoholic | childhood | satire,Neil Jordan,Stephen Rea | Fiona Shaw | Eamonn Owens | Alan Boyle
tt0118954,Deconstructing Harry,Comedy,lucifer morningstar character | death character | whoremonger | man wears eyeglasses | writer's block,Woody Allen,Woody Allen | Judy Davis | Julia Louis-Dreyfus | Stephanie Roth Haberle
tt0119137,Flubber,Comedy | Family | Sci-Fi,bare back | professor | flubber | wedding | college,Les Mayfield,Robin Williams | Marcia Gay Harden | Christopher McDonald | Ted Levine
tt0119142,For Richer or Poorer,Comedy,love | husband wife estrangement | husband wife relationship | fish out of water | disguise,Bryan Spicer,Tim Allen | Kirstie Alley | Jay O. Sanders | Michael Lerner
tt0119217,Good Will Hunting,Drama | Romance,professor | genius | friend | mathematical genius | original story,Gus Van Sant,Robin Williams | Matt Damon | Ben Affleck | Stellan Skarsgård
tt0119303,Home Alone 3,Comedy | Crime | Family,airport | chicken pox | actor shares first name with character | home invasion | tape over mouth,Raja Gosnell,Alex D. Linz | Olek Krupa | Rya Kihlstedt | Lenny von Dohlen
tt0119668,Midnight in the Garden of Good and Evil,Crime | Drama | Mystery | Thriller,homosexual | murder | trial | murder trial | reporter,Clint Eastwood,John Cusack | Kevin Spacey | Jack Thompson | Irma P. Hall
tt0119715,Mousehunt,Comedy,mouse | factory | restaurant | string factory | auction,Gore Verbinski,Nathan Lane | Lee Evans | Vicki Lewis | Maury Chaykin
tt0119819,Office Killer,Comedy | Crime | Horror | Thriller,getting away with murder | title directed by female | slasher | workplace romance | socially awkward,Cindy Sherman,Carol Kane | Molly Ringwald | Jeanne Tripplehorn | Barbara Sukowa
tt0120082,Scream 2,Horror | Mystery,villain | satire | self referential | evil woman | tough girl,Wes Craven,Neve Campbell | Courteney Cox | David Arquette | Jada Pinkett Smith
tt0120255,The Sweet Hereafter,Drama,slut shaming | lawyer | community | school bus | lawsuit,Atom Egoyan,Ian Holm | Sarah Polley | Caerthan Banks | Tom McCamus
tt0120338,Titanic,Drama | Romance,iceberg | sailor's death | wet | wetness | sea captain,James Cameron,Leonardo DiCaprio | Kate Winslet | Billy Zane | Kathy Bates
tt0120347,Tomorrow Never Dies,Action | Adventure | Thriller,megalomaniac | official james bond series | 007 | media tycoon | world war three,Roger Spottiswoode,Pierce Brosnan | Jonathan Pryce | Michelle Yeoh | Teri Hatcher
tt0119925,The Postman,Action | Adventure | Drama | Sci-Fi,year 2043 | year 2013 | woman | worst picture razzie winner | character name as title,Kevin Costner,Kevin Costner | Will Patton | Larenz Tate | Olivia Williams
tt0119314,The Horse Whisperer,Drama | Romance | Western,horse | horse trainer | rider horse relationship | mother daughter relationship | montana,Robert Redford,Robert Redford | Kristin Scott Thomas | Sam Neill | Dianne Wiest
tt0120521,The Winter Guest,Drama,tights | f rated | australia | widow | scotland,Alan Rickman,Phyllida Law | Emma Thompson | Sheila Reid | Sandra Voe
tt0119396,Jackie Brown,Crime | Drama | Thriller,money | gun | flight attendant | gun dealer | bail bondsman,Quentin Tarantino,Pam Grier | Samuel L. Jackson | Robert Forster | Bridget Fonda
tt0119485,Kundun,Biography | Drama | History | War,tibet | dalai lama | tibetan | slaughter | buddha,Martin Scorsese,Tenzin Thuthob Tsarong | Gyurme Tethong | Tulku Jamyang Kunga Tenzin | Tenzin Yeshi Paichang
tt0119718,Mr. Magoo,Adventure | Comedy | Family,based on cartoon | slapstick comedy | bloopers during credits | fishing | robbery,Stanley Tong,Leslie Nielsen | Kelly Lynch | Matt Keeslar | Nick Chinlund
tt0118566,Afterglow,Comedy | Drama | Romance,sex in a bathtub | ex soldier | watching television | wisecrack humor | repair,Alan Rudolph,Nick Nolte | Julie Christie | Lara Flynn Boyle | Jonny Lee Miller
tt0119590,Ma vie en rose,Drama,boy dressed as a girl | gender | cake | watching tv | the letter x,Alain Berliner,Georges Du Fresne | Michèle Laroque | Jean-Philippe Écoffey | Hélène Vincent
tt0119223,Great Expectations,Drama | Romance,estella character | love | gulf coast | florida | lawyer,Alfonso Cuarón,Ethan Hawke | Gwyneth Paltrow | Hank Azaria | Chris Cooper
tt0118539,3 Ninjas: High Noon at Mega Mountain,Action | Adventure | Comedy | Family,hostile takeover | machine gun | die hard scenario | disguised as a nun | ak 47,Sean McNamara,Loni Anderson | Hulk Hogan | Jim Varney | Victor Wong
tt0120670,Firestorm,Thriller | Action,parachute | firestorm | wyoming | disguise | impersonating someone,Dean Semler,Howie Long | Scott Glenn | William Forsythe | Suzy Amis
tt0120820,Senseless,Comedy | Romance,male rear nudity | one word title | public nudity | sperm sample | sperm bank,Penelope Spheeris,Marlon Wayans | David Spade | Brad Dourif | Esther Scott
tt0120885,Wag the Dog,Comedy | Drama,black comedy | satire | scandal | political corruption | political conspiracy,Barry Levinson,Dustin Hoffman | Robert De Niro | Anne Heche | Woody Harrelson
tt0118929,Dark City,Mystery | Sci-Fi | Thriller,neo noir | alien race | memory | experiment | serial killer,Alex Proyas,Rufus Sewell | Kiefer Sutherland | Jennifer Connelly | William Hurt
tt0120478,Star Kid,Adventure | Family | Sci-Fi,cult film | young boy | child hero | cybersuit | junkyard,Manny Coto,Joseph Mazzello | Joey Simmrin | Alex Daniels | Arthur Burghardt
tt0120696,Hard Rain,Action | Crime | Drama | Thriller,flood | reference to swamp thing | rogue cop | renegade cop | money,Mikael Salomon,Morgan Freeman | Christian Slater | Randy Quaid | Minnie Driver
tt0120693,Half Baked,Comedy | Crime,two word title | male objectification | group shower | shared shower | shower room,Tamra Davis,Dave Chappelle | Guillermo Díaz | Jim Breuer | Harland Williams
tt0119099,Fallen,Action | Crime | Drama | Fantasy | Mystery | Thriller,azazel | fallen angel | demon | demonic possession | supernatural,Gregory Hoblit,Denzel Washington | John Goodman | Donald Sutherland | Embeth Davidtz
tt0120122,Shooting Fish,Comedy | Crime | Romance,secretary | money | con artist | scam | orphan,Stefan Schwartz,Dan Futterman | Stuart Townsend | Kate Beckinsale | Rowena Cooper
tt0118643,The Prophecy II,Fantasy | Horror | Thriller,neo noir | sex scene | archangel gabriel | co written by director | dry cleaner,Greg Spence,Christopher Walken | Russell Wong | Jennifer Beals | Brittany Murphy
tt0112913,Do lok tin si,Comedy | Crime | Drama | Romance,female masturbation | slow motion scene | urban setting | pineapple | heartbreak,Kar-Wai Wong,Leon Lai | Michelle Reis | Takeshi Kaneshiro | Charlie Yeung
tt0119815,"O Que é Isso, Companheiro?",Action | Drama | History | Thriller,democracy | military dictatorship | oppression | operation condor | brazilian military dictatorship,Bruno Barreto,Alan Arkin | Pedro Cardoso | Fernanda Torres | Luiz Fernando Guimarães
tt0120185,Spice World,Comedy | Family | Music,female stereotype | bad movie | trash movie | worst movie | pop singer,Bob Spiers,Mel B | Emma Bunton | Melanie C | Geri Horner
tt0118956,Deep Rising,Action | Adventure | Horror | Sci-Fi,ship | creature feature | ocean | hijacker | tentacle,Stephen Sommers,Treat Williams | Famke Janssen | Anthony Heald | Kevin J. O'Connor
tt0119734,Music from Another Room,Comedy | Drama | Romance,swan | passion | friend | fight | fate,Charlie Peters,Jude Law | Jennifer Tilly | Gretchen Mol | Martha Plimpton
tt0120008,The Replacement Killers,Action | Crime | Thriller,hitman | sniper rifle | passport | forger | police,Antoine Fuqua,Yun-Fat Chow | Mira Sorvino | Michael Rooker | Kenneth Tsang
tt0119784,The Night Flier,Fantasy | Horror | Mystery,reporter | vampire | tragedy | light airplane | airplane,Mark Pavia,Miguel Ferrer | Julie Entwisle | Dan Monahan | Michael H. Moss
tt0118747,Blues Brothers 2000,Action | Comedy | Crime | Music | Musical,music band | car chase | release from prison | blues music | sequel with unusual number,John Landis,Dan Aykroyd | John Goodman | Walter Levine | Tom Davis
tt0120888,The Wedding Singer,Comedy | Music | Romance,year 1985 | 1980s | face slap | raised middle finger | marriage proposal,Frank Coraci,Adam Sandler | Drew Barrymore | Christine Taylor | Allen Covert
tt0120184,Sphere,Action | Mystery | Sci-Fi | Thriller,imagination | bottom of the ocean | hallucination | biologist | marine biologist,Barry Levinson,Dustin Hoffman | Sharon Stone | Samuel L. Jackson | Peter Coyote
tt0120782,Palmetto,Crime | Drama | Mystery | Romance | Thriller,tied to a chair | fake kidnapping | scam | infidelity | extramarital affair,Volker Schlöndorff,Woody Harrelson | Elisabeth Shue | Gina Gershon | Rolf Hoppe
tt0119822,As Good as It Gets,Comedy | Drama | Romance,obsessive compulsive disorder | unlikely friendship | friendship | dog | male objectification,James L. Brooks,Jack Nicholson | Helen Hunt | Greg Kinnear | Cuba Gooding Jr.
tt0099939,King of New York,Crime | Thriller,mob boss | cult film | prostitute | mini skirt | underwear,Abel Ferrara,Christopher Walken | David Caruso | Laurence Fishburne | Victor Argo
tt0119656,Men with Guns,Action | Crime | Drama,loser | farm | cocaine | bloodbath | debt,Kari Skogland,Donal Logue | Gregory Sporleder | Callum Keith Rennie | Paul Sorvino
tt0119594,Twilight,Crime | Drama | Mystery | Thriller,bare breasts | breasts | female frontal nudity | female nudity | nude swimming,Robert Benton,Paul Newman | Susan Sarandon | Gene Hackman | Reese Witherspoon
tt0120873,U.S. Marshals,Action | Crime | Thriller,fugitive | starbucks coffee | samuel gerard character | u.s. marshal | escape,Stuart Baird,Tommy Lee Jones | Wesley Snipes | Robert Downey Jr. | Joe Pantoliano
tt0119574,Love and Death on Long Island,Comedy | Drama,actor | obsession | star | love | obsessive love,Richard Kwietniowski,John Hurt | Jason Priestley | Fiona Loewi | Sheila Hancock
tt0112619,El Callejón de los Milagros,Drama | Romance,kinky sex | prostitute | mexico city | husband wife relationship | mother son relationship,Jorge Fons,Ernesto Gómez Cruz | María Rojo | Salma Hayek | Bruno Bichir
tt0140282,In God's Hands,Action | Drama | Sport,wave | travel | surfer | surfing | surfboard,Zalman King,Matt George | Matty Liu | Shane Dorian | Shaun Tomson
tt0118744,Hush,Drama | Thriller,farm | borderline personality disorder | injection | bare chested male | boy,Jonathan Darby,Jessica Lange | Gwyneth Paltrow | Johnathon Schaech | Nina Foch
tt0120241,Suicide Kings,Comedy | Crime | Drama | Mystery | Thriller,man in socks | man tied up | tied to chair | dark comedy | mobster,Peter O'Fallon,Christopher Walken | Denis Leary | Sean Patrick Flanery | Mark Watson
tt0120744,The Man in the Iron Mask,Action | Adventure | Drama,17th century | france | twin | musketeer | three musketeers,Randall Wallace,Leonardo DiCaprio | Jeremy Irons | John Malkovich | Gérard Depardieu
tt0120769,The Newton Boys,Action | Crime | Drama | History | Western,bank robber | train | brother brother relationship | explosive | crime spree,Richard Linklater,Matthew McConaughey | Ethan Hawke | Skeet Ulrich | Vincent D'Onofrio
tt0120890,Wild Things,Crime | Drama | Mystery | Thriller,erotic thriller | lesbian sex | female frontal nudity | taboo sex | sex with a student,John McNaughton,Kevin Bacon | Neve Campbell | Matt Dillon | Denise Richards
tt0125454,Paulie,Adventure | Comedy | Drama | Family,parrot | girl | janitor | human animal relationship | road trip,John Roberts,Gena Rowlands | Tony Shalhoub | Cheech Marin | Bruce Davison
tt0120642,"A Cool, Dry Place",Drama,cheerleader uniform | voyeurism | voyeur | blonde | mini skirt,John N. Smith,Vince Vaughn | Monica Potter | Joey Lauren Adams | Bobby Moat
tt0119250,Hana-bi,Crime | Drama | Romance | Thriller,police | leukemia | cynicism | japan | japanese man,Takeshi Kitano,Takeshi Kitano | Kayoko Kishimoto | Ren Osugi | Susumu Terajima
tt0119942,Primary Colors,Comedy | Drama,scandal | based on novel | candidate | president | election,Mike Nichols,John Travolta | Emma Thompson | Kathy Bates | Larry Hagman
tt0120510,Wide Awake,Comedy | Drama | Family,boy | boys' school | school | nun | christianity,M. Night Shyamalan,Joseph Cross | Timothy Reifsnyder | Dana Delany | Denis Leary
tt0124179,Two Girls and a Guy,Comedy | Drama,male underwear | male in underwear | funeral home | polygamy | bare chested male,James Toback,Robert Downey Jr. | Heather Graham | Natasha Gregson Wagner | Angel David
tt0120219,Storefront Hitchcock,Documentary | Music,concert film | live in concert recording | independent film,Jonathan Demme,Robyn Hitchcock | Deni Bonet | Tim Keegan
tt0120772,The Object of My Affection,Comedy | Drama | Romance,based on novel | gay | unrequited love | friendship | homosexuality,Nicholas Hytner,Jennifer Aniston | Paul Rudd | Kali Rocha | Lena Cardwell
tt0120645,Meet the Deedles,Comedy | Family,park | bikini | yellowstone national park | accidental kiss | eating a worm,Steve Boyum,Paul Walker | Steve Van Wormer | A.J. Langer | John Ashton
tt0119305,Homegrown,Comedy | Crime | Drama | Thriller,stoner comedy | california | marijuana | sex scene | female frontal nudity,Stephen Gyllenhaal,Billy Bob Thornton | Hank Azaria | Kelly Lynch | John Lithgow
tt0120598,Barney's Great Adventure,Adventure | Comedy | Drama | Family | Fantasy,basketball ball | egg | farm | grandparents | dinosaur,Steve Gomer,George Hearn | Shirley Douglas | Trevor Morgan | Alan Fawcett
tt0124295,The Big One,Documentary | Comedy | Crime | Drama,three word title | social activism | unemployment | stock exchange | radio broadcasting,Michael Moore,Michael Moore | Elaine Bly | Dan Burns | Chip Carter
tt0120738,Lost in Space,Action | Adventure | Family | Sci-Fi | Thriller,spaceship | robot | alien | sabotage | scientist,Stephen Hopkins,Gary Oldman | William Hurt | Matt LeBlanc | Mimi Rogers
tt0120749,Mercury Rising,Action | Crime | Drama | Thriller,autistic child | child in danger | autism | assassin | 9 year old,Harold Becker,Bruce Willis | Miko Hughes | Alec Baldwin | Chi McBride
tt0120176,The Spanish Prisoner,Drama | Mystery | Thriller,con game | secret | extradition | brother sister relationship | inventor,David Mamet,Steve Martin | Ben Gazzara | Campbell Scott | Ricky Jay
tt0120632,City of Angels,Drama | Fantasy | Romance,candlelit bath | woman wears eyeglasses | angel | heart surgeon | doctor,Brad Silberling,Nicolas Cage | Meg Ryan | Andre Braugher | Dennis Franz
tt0120728,The Last Days of Disco,Comedy | Drama | Music | Romance,1970s | reference to carl barks | disco | friend | 1980s,Whit Stillman,Chloë Sevigny | Kate Beckinsale | Chris Eigeman | Mackenzie Astin
tt0120773,The Odd Couple II,Adventure | Comedy,car over cliff | road movie | four word title | old friend | roman numeral in title,Howard Deutch,Jack Lemmon | Walter Matthau | Richard Riehle | Jonathan Silverman
tt0120765,My Giant,Comedy | Drama,heart disease | giant | romania | monastery | tall man,Michael Lehmann,Billy Crystal | Gheorghe Muresan | Kathleen Quinlan | Joanna Pacula
tt0124718,He Got Game,Drama | Sport,basketball | prison | university | porn actor in mainstream movie | father son rivalry,Spike Lee,Denzel Washington | Milla Jovovich | Ray Allen | Rosario Dawson
tt0119196,The Gingerbread Man,Crime | Mystery | Thriller,law firm | killing a pet | full frontal female nudity | barefoot woman | one night stand,Robert Altman,Kenneth Branagh | Embeth Davidtz | Robert Downey Jr. | Daryl Hannah
tt0118819,Carne trémula,Drama,erotica | wheelchair basketball | prison | pizza | breasts,Pedro Almodóvar,Liberto Rabal | Francesca Neri | Javier Bardem | Ángela Molina
tt0120906,Zero Effect,Comedy | Crime | Drama | Mystery | Romance | Thriller,private detective | neo noir | whodunit | los angeles california | number in title,Jake Kasdan,Bill Pullman | Ben Stiller | Ryan O'Neal | Kim Dickens
tt0119792,Nil by Mouth,Drama,drug addict | drugs | working class | c word | wife abuse,Gary Oldman,Ray Winstone | Kathy Burke | Charlie Creed-Miles | Laila Morse
tt0118755,The Borrowers,Adventure | Comedy | Family | Fantasy,based on novel | miniature person | child's point of view | house | real estate,Peter Hewitt,John Goodman | Jim Broadbent | Mark Williams | Celia Imrie
tt0118727,Love Walked In,Drama | Thriller,sex scene | three word title | bare breasts | topless female nudity | nudity,Juan José Campanella,Denis Leary | Terence Stamp | Aitana Sánchez-Gijón | Michael Badalucco
tt0120723,Kissing a Fool,Comedy | Romance,dominatrix | chicago illinois,Doug Ellin,David Schwimmer | Jason Lee | Mili Avital | Bonnie Hunt
tt0120725,Krippendorf's Tribe,Comedy,anthropologist | professor | new guinea | lecture | family relationships,Todd Holland,Richard Dreyfuss | Jenna Elfman | Natasha Lyonne | Gregory Smith
tt0138563,Kurt & Courtney,Documentary | Crime | Music,musician | interview | fame | death | heroin,Nick Broomfield,Courtney Love | Nick Broomfield | Kurt Cobain | Mari Earle
tt0117786,Yat goh ho yan,Action | Comedy | Crime,gang | gangster | drugs | reporter | chef,Sammo Kam-Bo Hung,Jackie Chan | Richard Norton | Miki Lee | Karen McLymont
tt0120265,Ta'm e guilass,Drama,suicide | driving a car | conversation in a car | iran | gay cruising,Abbas Kiarostami,Homayoun Ershadi | Abdolrahman Bagheri | Afshin Khorshid Bakhtiari | Safar Ali Moradi
tt0119448,Karakter,Crime | Drama | Mystery,gunfight | street shootout | police shootout | police | lawyer,Mike van Diem,Pavlik Jansen op de Haar | Jan Decleir | Fedja van Huêt | Betty Schuurman
tt0118785,Budbringeren,Comedy | Thriller,postman | black comedy | siblings living together | vomiting | beating,Pål Sletaune,Robert Skjærstad | Andrine Sæther | Per Egil Aske | Eli Anne Linnestad
tt0120841,Species II,Action | Horror | Sci-Fi | Thriller,female nudity | impregnation | female rear nudity | sex scene | blonde,Peter Medak,Natasha Henstridge | Michael Madsen | Marg Helgenberger | Mykelti Williamson
tt0120742,Major League: Back to the Minors,Comedy | Sport,team | manager | league | pitcher | stadium,John Warren,Scott Bakula | Corbin Bernsen | Dennis Haysbert | Takaaki Ishibashi
tt0120838,Sour Grapes,Comedy,jackpot | slot machine | money | bulgaria | cousin cousin relationship,Larry David,Steven Weber | Craig Bierko | Jack Burns | Viola Harris
tt0141986,Wild Man Blues,Documentary | Music | Romance,title directed by female | paparazzi | jazz | jazz score | bologna,Barbara Kopple,Woody Allen | Letty Aronson | Soon-Yi Previn | Dan Barrett
tt0120609,The Big Hit,Action | Comedy | Crime | Thriller,video store | vhs | male rear nudity | reference to the spice girls | 1990s,Kirk Wong,Mark Wahlberg | Lou Diamond Phillips | Christina Applegate | Avery Brooks
tt0118925,"Dancer, Texas Pop. 81",Comedy | Drama | Family,texas | population | best friend | friendship | state in title,Tim McCanlies,Breckin Meyer | Peter Facinelli | Eddie Mills | Ethan Embry
tt0119683,Les Misérables,Crime | Drama | History | Romance,french revolution | police brutality | catholic church | based on novel | male tied up,Bille August,Liam Neeson | Geoffrey Rush | Uma Thurman | Christopher Adamson
tt0120211,Still Breathing,Comedy | Drama | Romance | Fantasy,puppeteer | con artist | dream | ivy | male female relationship,James F. Robinson,Brendan Fraser | Joanna Going | Lou Rawls | Steven Lambert
tt0118866,Clockwatchers,Comedy | Drama,office | office politics | temporary worker | f rated | title directed by female,Jill Sprecher,Toni Collette | Parker Posey | Lisa Kudrow | Alanna Ubach
tt0120647,Deep Impact,Action | Drama | Romance | Sci-Fi | Thriller,comet | space travel | saving the world mission | telescope | giant wave,Mimi Leder,Robert Duvall | Téa Leoni | Elijah Wood | Morgan Freeman
tt0120531,Woo,Comedy | Romance,f rated | title directed by female | nickname in title | strong female | female protagonist,Daisy von Scherler Mayer,Jada Pinkett Smith | Tommy Davidson | Duane Martin | Michael Ralph
tt0119506,Lawn Dogs,Drama,infidelity | adultery | hole in shirt | chasing an animal | dog attack,John Duigan,Sam Rockwell | Kathleen Quinlan | Mischa Barton | Christopher McDonald
tt0120800,Quest for Camelot,Animation | Adventure | Comedy | Drama | Family | Fantasy | Musical,ogre | king arthur character | merlin character | scene before opening credits | scene during opening credits,Frederik Du Chau,Jessalyn Gilsig | Cary Elwes | Andrea Corr | Bryan White
tt0120685,Godzilla,Action | Sci-Fi | Thriller,giant monster | iguana | giant footprint | running for your life | monster,Roland Emmerich,Matthew Broderick | Jean Reno | Maria Pitillo | Hank Azaria
tt0118798,Bulworth,Comedy | Drama | Romance,senator | truth | politics | liberal | rap music,Warren Beatty,Warren Beatty | Halle Berry | Kimberly Deauna Adams | Vinny Argiro
tt0120669,Fear and Loathing in Las Vegas,Adventure | Comedy | Drama,drugs | hallucination | 1970s | lawyer | journalist,Terry Gilliam,Johnny Depp | Benicio Del Toro | Tobey Maguire | Michael Lee Gogin
tt0120777,The Opposite of Sex,Comedy,gay | death | scandal | homosexual | gay man has sex with a woman,Don Roos,Christina Ricci | Martin Donovan | Lisa Kudrow | Lyle Lovett
tt0131436,I Got the Hook Up,Comedy,van | scam | friend | obscenity | vacant lot,Michael Martin,Master P | Anthony Johnson | Gretchen Palmer | Frantz Turner
tt0119053,Almost Heroes,Adventure | Comedy | Western,native american | eagle | thrown through a wall | ocean | killing an animal,Christopher Guest,Chris Farley | Matthew Perry | Bokeem Woodbine | Barry Del Sherman
tt0119313,Hope Floats,Drama | Romance,small town | return to hometown | funeral | betrayal | adultery,Forest Whitaker,Sandra Bullock | Harry Connick Jr. | Gena Rowlands | Mae Whitman
tt0119375,Insomnia,Crime | Mystery | Thriller,fog | accidental shooting | hallucination | detective | northern norway,Erik Skjoldbjærg,Stellan Skarsgård | Sverre Anker Ousdal | Maria Mathiesen | Gisken Armand
tt0120401,The Ugly,Drama | Horror | Thriller,rape | killer | hospital | psychologist | mental hospital,Scott Reynolds,Paolo Rotondo | Paul Glover | Chris Graham | Darien Takle
tt0120787,A Perfect Murder,Crime | Drama | Thriller,woman in jeopardy | money | urban setting | cell phone | murder,Andrew Davis,Michael Douglas | Gwyneth Paltrow | Viggo Mortensen | David Suchet
tt0120828,Six Days Seven Nights,Action | Adventure | Comedy | Romance,pilot | thunderstorm | female removes her clothes | floatplane | island,Ivan Reitman,Harrison Ford | Anne Heche | David Schwimmer | Jacqueline Obradors
tt0118894,Cousin Bette,Comedy | Drama | Romance,songbird | army | soup | deception | 360 degree well camera shot,Des McAnuff,Jessica Lange | Elisabeth Shue | Bob Hoskins | Geraldine Chaplin
tt0139362,High Art,Drama | Romance,f rated | nudity | drug overdose | cocaine | female nudity,Lisa Cholodenko,Radha Mitchell | Ally Sheedy | Patricia Clarkson | Gabriel Mann
tt0118849,Bacheha-Ye aseman,Drama | Family | Sport,race | late for school | family relationships | neorealism | cobbler the shoemaker,Majid Majidi,Mohammad Amir Naji | Amir Farrokh Hashemian | Bahare Seddiqi | Nafise Jafar-Mohammadi
tt0150290,Dear Jesse,Documentary,u.s. senator | boyfriend boyfriend relationship | breakup | new york city | family relationships,Tim Kirkman,Nathan A. Barbour | Karen Brown | Patsy Clarke | Hal Crowther
tt0116141,Dream for an Insomniac,Romance | Comedy | Drama,friend | dream | insomnia | f rated | toronto,Tiffanie DeBartolo,Ione Skye | Jennifer Aniston | Mackenzie Astin | Michael Landes
tt0126938,Hav Plenty,Comedy,new year's eve | social differences | black middle class | new york city | class conflict,Christopher Scott Cherot,Christopher Scott Cherot | Chenoa Maxwell | Tammi Katherine Jones | Robinne Lee
tt0122529,Henry Fool,Comedy | Drama,risk taking | promiscuity | garbageman | masturbation | strip club,Hal Hartley,Thomas Jay Ryan | James Urbaniak | Parker Posey | Maria Porter
tt0120902,The X Files,Drama | Mystery | Sci-Fi | Thriller,agent | bomb | government | alien | conspiracy,Rob Bowman,David Duchovny | Gillian Anderson | John Neville | William B. Davis
tt0126344,I Went Down,Action | Comedy | Crime | Drama,murder | bog | money | beating | prison,Paddy Breathnach,Brendan Gleeson | Peter McDonald | Antoine Byrne | David Wilmot
tt0118998,Doctor Dolittle,Comedy | Family | Fantasy,veterinarian | remake | san francisco california | based on novel | f rated,Betty Thomas,Eddie Murphy | Peter Boyle | Ossie Davis | Oliver Platt
tt0120780,Out of Sight,Comedy | Crime | Drama | Romance | Thriller,opposites attract | bank robbery | u.s. marshal | prison | one last job,Steven Soderbergh,George Clooney | Jennifer Lopez | Ving Rhames | Steve Zahn
tt0073540,Picnic at Hanging Rock,Drama | Mystery,year 1900 | vanishing | unexplained | supernatural overtones | horror overtones,Peter Weir,Rachel Roberts | Anne-Louise Lambert | Vivean Gray | Helen Morse
tt0120321,Smoke Signals,Comedy | Drama,national film registry | arizona desert | road movie | fire | native american protagonist,Chris Eyre,Adam Beach | Evan Adams | Irene Bedard | Gary Farmer
tt0118789,Buffalo '66,Comedy | Drama | Romance,stockholm syndrome | stripper | release from prison | dancer | bathtub,Vincent Gallo,Vincent Gallo | Christina Ricci | Ben Gazzara | Mickey Rourke
tt0120591,Armageddon,Action | Adventure | Sci-Fi | Thriller,cranberry | asteroid | astronaut | outer space | bomb,Michael Bay,Bruce Willis | Billy Bob Thornton | Ben Affleck | Liv Tyler
tt0122151,Lethal Weapon 4,Action | Crime | Thriller,kung fu | martial arts | shoulder | holster | squad car,Richard Donner,Mel Gibson | Danny Glover | Joe Pesci | Rene Russo
tt0123987,Madeline,Comedy | Family,title directed by female | key | character name as title | girl wears eyeglasses | thinking,Daisy von Scherler Mayer,Frances McDormand | Nigel Hawthorne | Hatty Jones | Ben Daniels
tt0122718,Small Soldiers,Action | Adventure | Comedy | Family | Sci-Fi,parody | wolf whistle | watching tv | wilhelm scream | product placement,Joe Dante,Kirsten Dunst | Gregory Smith | David Cross | Jay Mohr
tt0138704,Pi,Drama | Horror | Mystery | Sci-Fi | Thriller,cult film | the letter pi | go | mathematician | headache,Darren Aronofsky,Sean Gullette | Mark Margolis | Ben Shenkman | Pamela Hart
tt0140688,Whatever,Drama,sex | drugs | new jersey | high school | art teacher,Susan Skoog,Liza Weil | Chad Morgan | Frederic Forrest | Kathryn Rossetter
tt0052077,Plan 9 from Outer Space,Horror | Sci-Fi,camp | bad acting | unintentionally funny | stock footage | wobbly sets,Edward D. Wood Jr.,Gregory Walcott | Tom Keene | Mona McKinnon | Duke Moore
tt0019729,The Broadway Melody,Drama | Musical | Romance,romantic rivalry | putting on a show | uncle niece relationship | unrequited love | gold digger,Harry Beaumont,Bessie Love | Anita Page | Charles King | The Angeles Twins
tt0020629,All Quiet on the Western Front,Drama | War,squad | 1910s | soldier | german army | trench warfare,Lewis Milestone,Lew Ayres | Louis Wolheim | John Wray | Arnold Lucy
tt0021746,Cimarron,Drama | Western,oklahoma land rush | old age makeup | character name as title | nickname as title | oklahoma,Wesley Ruggles,Richard Dix | Irene Dunne | Estelle Taylor | Nance O'Neil
tt0022958,Grand Hotel,Drama | Romance,hotel | berlin germany | jewel thief | based on play | title spoken by character,Edmund Goulding,Greta Garbo | John Barrymore | Joan Crawford | Wallace Beery
tt0026752,Mutiny on the Bounty,Adventure | Biography | Drama | History | Romance,revenge | mutiny | voyage | ship | boat,Frank Lloyd,Charles Laughton | Clark Gable | Franchot Tone | Herbert Mundin
tt0027698,The Great Ziegfeld,Biography | Drama | Musical | Romance,character name as title | florenz ziegfeld character | billie burke character | fanny brice character | say bolger character,Robert Z. Leonard,William Powell | Myrna Loy | Luise Rainer | Frank Morgan
tt0029146,The Life of Emile Zola,Biography | Drama,french author | literature | writer | trial | dreyfus affair,William Dieterle,Paul Muni | Gale Sondergaard | Joseph Schildkraut | Gloria Holden
tt0030993,You Can't Take It with You,Comedy | Drama | Romance,unconventional family | eccentric family | eccentricity | patchwork family | pulitzer prize source,Frank Capra,Jean Arthur | James Stewart | Lionel Barrymore | Edward Arnold
tt0033729,How Green Was My Valley,Drama | Family,coal miner | coal mine | color in title | based on novel | national film registry,John Ford,Walter Pidgeon | Maureen O'Hara | Anna Lee | Donald Crisp
tt0035093,Mrs. Miniver,Drama | Romance | War,love | husband wife relationship | family relationships | marriage proposal | world war two,William Wyler,Greer Garson | Walter Pidgeon | Teresa Wright | May Whitty
tt0036872,Going My Way,Comedy | Drama | Music,church | priest | catholic | mortgage | national film registry,Leo McCarey,Bing Crosby | Barry Fitzgerald | Frank McHugh | James Brown
